Designator,Mid X,Mid Y,Rotation,Layer
C1,7.9375,23.8,0.0,top
C10,1.4,-8.3,270.0,top
C11,8.0,0.5,0.0,top
C12,-1.0,8.8,90.0,top
C13,-1.3,-8.3,270.0,top
C14,-5.8,8.1,180.0,top
C15,-8.0,2.9,180.0,top
C16,8.005,-0.5,0.0,top
C17,-8.0,-2.2,180.0,top
C18,7.5,-4.5,0.0,top
C19,-14.885,22.0,0.0,top
C2,-3.815,17.17,180.0,top
C20,7.5,4.3,0.0,top
C21,-4.7,-6.7,180.0,top
C22,-11.4,17.9,0.0,bottom
C3,-1.375,-10.42,180.0,top
C4,1.595,-10.42,0.0,top
C5,9.025,11.0,0.0,top
C6,3.0,6.05,0.0,top
C7,3.0,7.0,0.0,top
C8,-8.0,0.2,180.0,top
C9,5.2,6.5,270.0,top
J1,-0.025,27.165,180.0,top
J2,-22.86,-5.75,0.0,top
J3,22.86,-5.75,0.0,top
J4,10.9,-27.8,0.0,top
L1,3.0,8.65,0.0,top
R1,-7.6,17.7,270.0,top
R10,-11.4,17.2,0.0,top
R11,-6.9,18.41,270.0,bottom
R13,-8.7,17.9,180.0,bottom
R2,0.2,-8.305,270.0,top
R3,5.2,8.35,270.0,top
R4,8.1,-13.7,270.0,top
R6,-11.4,18.6,0.0,top
R7,0.0,8.8,270.0,top
R8,1.0,8.8,270.0,top
R9,-9.1,17.7,270.0,top
SW1,-8.8,24.8,270.0,top
SW2,10.725,-13.6,90.0,top
U1,0.0,0.0,0.0,top
U2,8.0,17.65,90.0,top
U3,-7.0,12.8,270.0,top
U4,-7.0,12.8,270.0,bottom
Y1,0.0,-14.0,0.0,top
