Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_Common_THT,1,RaspberryPi_Pico,
"C1, C10, C16, C7",CAP_EEFK_D8_PAN,4,EEE-FK1H470XP,
"C11, C12, C2, C3",0805,4,2.2uF,
"C13, C4",0603,2,0.1uF,
"C14, C5",0603,2,2.2nF,
C15,0603,1,50pF,
"C17, C18, C8, C9",0805,4,22uF,
"C19, C20, C22, C23, C24, C26, C27, C28, C30, C31, C32, C34, C35, C36, C38, C42, C43, C44, C45, C48, C49, C52, C53",0603,23,100nF,
"C21, C25, C29, C33, C37, C46, C51, C55",0603,8,1uF,
C39,0805,1,4.7uF,
"C40, C56, C57, C58, C59, C60, C61, C62",0805,8,100nF,
C41,0603,1,470pF,
"C47, C50, C54",0603,3,25uF,
C6,0603,1,65pF,
"CR1, CR2",DIODE_TO-277A,2,SS5P10-M3/86A,
"CR10, CR11, CR12, CR13, CR14, CR15, CR16, CR17, CR3, CR4, CR5, CR6, CR7, CR8, CR9",SOT23_TO-236AB_NEX,15,PESD2CAN_215,
"D1, D4",Nexperia_CFP3_SOD-123W,2,D_Zener,
"D10, D12, D8",D_SMB,3,SM6T39AY,
"D11, D2, D3, D5, D6, D7, D9",0805,7,LED,
"D13, D14, D15, D16, D17, D18, D19",D_SOD-323F,7,BAT54J,
"FB1, FB2",0805,2,FerriteBead,
"FB3, FB4, FB5, FB6, FB7, FB8",0603,6,FerriteBead,
"J1, J2, J3, J4, J5",CONN_SD-43045-010_08_MOL,5,430450828,
"J10, J6, J7, J8, J9",PinHeader_1x04_P2.54mm_Vertical,5,debug,
J11,PinHeader_1x04_P2.54mm_Vertical,1,UART,
J12,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
"J13, J15, J17, J22, J24, J26, J28",PinHeader_2x02_P2.54mm_Vertical,7,Conn_02x02_Odd_Even,
"J14, J16, J18, J23, J25, J27",CONN_SD-43650-010_03_MOL,6,436500328,
"J19, J20, J21",TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal,3,Screw_Terminal_01x02,
J29,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,x_home,
J30,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,y_home,
J31,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,z_home,
J32,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,a_home,
J33,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,b_home,
J34,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,c_input,
J35,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,y_estop,
J36,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,z_estop,
J37,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,a_estop,
J38,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,b_estop,
J39,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,c_estop,
J40,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,E_stop,
J41,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,x_estop,
"JP1, JP2, JP3, JP4, JP5",TestPoint_2Pads_Pitch5.08mm_Drill1.3mm,5,Jumper_2_Open,
"K1, K2, K3",V-SOP4_special_OMR,3,G3VM-61VY3,
L1,IND_1210-WE-PD_WRE,1,7447709220,
L2,IND_1210-WE-PD_WRE,1,7447709470,
L3,1210,1,22uH,
"R1, R7",0805,2,10k,
R10,0603,1,453k 1%,
R11,0603,1,50k 1%,
R12,0805,1,2k,
"R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30",0603,18,10k,
"R2, R8",0805,2,31.6kOhm,
"R3, R9",0603,2,100k,
"R31, R32, R33",0603,3,4.7k,
"R34, R35, R36",0805,3,0/10Ohm,
"R37, R38, R39",0805,3,100,
R4,0603,1,316k 1%,
"R40, R42, R44, R53",0805,4,470,
"R41, R43, R45",0805,3,1k,
"R46, R47, R48, R49, R50, R51, R54",0805,7,4.7kOhm,
R5,0603,1,100k 1%,
R52,0805,1,1.3k,
R6,0805,1,330,
"R_ESR1, R_ESR2",0603,2,20mOhm,
"U1, U2",POWERPAD8_DDA_TEX,2,LM5013QDDARQ1,
"U10, U12, U4, U6, U8",SOIC-16_3.9x9.9mm_P1.27mm,5,AM26LS31CD,
"U11, U14, U3, U5, U7, U9",DW0016B_M,6,ISO7730FDWR,
U13,OPEN-FRAME10_15.24X11.1X8_RCP,1,R2SX-1205/H-R,
"U15, U16, U17",SOIC-8_M_MCH,3,MIC4420YM-TR,
"U18, U19",SO16_TOS,2,TLP291-4GB-TP_ET,
