Designator,Mid X,Mid Y,Rotation,Layer
A1,120.91,-111.26,180.0,top
C1,59.4117,-88.2725,0.0,top
C10,59.5911,-128.61,0.0,top
C11,65.1994,-126.56,180.0,top
C12,65.1994,-124.36,180.0,top
C13,65.0494,-122.41,180.0,top
C14,63.8244,-112.96,180.0,top
C15,63.0994,-110.56,90.0,top
C16,61.4411,-98.46,0.0,top
C17,64.0494,-108.01,0.0,top
C18,64.0494,-104.01,0.0,top
C19,145.8818,-134.275,270.0,top
C2,66.8,-85.8625,180.0,top
C20,148.8,-120.65,180.0,top
C21,168.800001,-131.699999,0.0,top
C22,168.825001,-133.299999,0.0,top
C23,145.741901,-116.056901,270.0,top
C24,148.8,-102.35,180.0,top
C25,168.799999,-113.500001,0.0,top
C26,168.824999,-115.100001,0.0,top
C27,145.8,-97.698702,270.0,top
C28,148.758099,-84.073703,180.0,top
C29,168.729141,-95.389149,0.0,top
C3,66.8,-83.3625,180.0,top
C30,168.787239,-96.96005,0.0,top
C31,145.8,-79.375,270.0,top
C32,148.8,-65.85,180.0,top
C33,168.749049,-77.20905,0.0,top
C34,168.774049,-78.80905,0.0,top
C35,145.781499,-61.098703,270.0,top
C36,148.8215,-47.473703,180.0,top
C37,168.74,-59.1,0.0,top
C38,168.765,-60.7,0.0,top
C39,83.56,-125.86,0.0,top
C4,66.62,-81.3825,180.0,top
C40,100.96,-135.29,90.0,top
C41,86.16,-126.96,270.0,top
C42,123.55,-76.95,270.0,top
C43,123.5,-66.825,270.0,top
C44,103.0,-59.9304,270.0,top
C45,102.95,-56.1767,90.0,top
C46,102.95,-53.1517,270.0,top
C47,108.8375,-52.6213,0.0,top
C48,118.3467,-60.32415,270.0,top
C49,118.3467,-56.52415,90.0,top
C5,65.05,-71.8625,180.0,top
C50,124.1467,-52.72415,0.0,top
C51,118.3467,-53.42415,270.0,top
C52,132.98,-59.8,270.0,top
C53,132.98,-56.125,90.0,top
C54,138.95,-52.5,0.0,top
C55,132.98,-53.025,270.0,top
C56,129.65,-83.6,0.0,top
C57,108.3,-87.7,90.0,top
C58,108.3,-92.9,90.0,top
C59,108.3,-96.5,270.0,top
C6,64.24,-69.0525,90.0,top
C60,108.3,-100.8,90.0,top
C61,108.3,-104.5,270.0,top
C62,108.3,-108.65,90.0,top
C7,63.2817,-57.1725,0.0,top
C8,65.3,-66.4625,0.0,top
C9,65.3,-62.4125,0.0,top
CR1,59.55,-79.2555,0.0,top
CR10,173.69719,-91.400999,90.0,top
CR11,174.36224,-96.33155,270.0,top
CR12,174.274951,-68.385347,270.0,top
CR13,173.874951,-73.135346,90.0,top
CR14,174.34905,-78.18055,270.0,top
CR15,174.224999,-50.9,270.0,top
CR16,173.584,-55.049999,90.0,top
CR17,174.340001,-60.0715,270.0,top
CR2,58.0494,-119.303,0.0,top
CR3,174.065801,-121.999999,270.0,top
CR4,173.765801,-127.249998,90.0,top
CR5,174.400001,-132.671499,270.0,top
CR6,174.125901,-103.881902,270.0,top
CR7,173.725901,-109.031901,90.0,top
CR8,174.399999,-114.471501,270.0,top
CR9,174.22919,-87.100999,270.0,top
D1,71.85,-87.6,270.0,top
D10,86.0,-102.85,90.0,top
D11,98.4625,-110.6875,0.0,top
D12,86.1,-117.25,90.0,top
D13,119.2,-67.7,0.0,top
D14,115.8,-67.7,0.0,top
D15,112.45,-67.7,0.0,top
D16,109.2,-67.7,0.0,top
D17,105.78,-67.65,0.0,top
D18,102.48,-67.65,0.0,top
D19,95.6,-69.3,0.0,top
D2,71.8,-83.425,270.0,top
D3,68.14,-63.49,270.0,top
D4,71.55,-128.05,270.0,top
D5,71.0494,-123.96,270.0,top
D6,66.8494,-105.11,270.0,top
D7,98.16,-81.36,0.0,top
D8,86.0,-88.1,90.0,top
D9,98.2625,-96.0875,0.0,top
FB1,65.3,-89.3625,90.0,top
FB2,65.4494,-129.66,90.0,top
FB3,145.8818,-119.75,90.0,top
FB4,145.8,-101.45,90.0,top
FB5,145.8,-83.225,90.0,top
FB6,145.8,-64.95,90.0,top
FB7,145.8215,-46.573703,90.0,top
FB8,121.8,-66.95,90.0,top
J1,181.903001,-126.799998,270.0,top
J10,143.081499,-54.363703,180.0,top
J11,138.69,-136.85,90.0,top
J12,105.53,-133.41,180.0,top
J13,98.88,-56.0734,180.0,top
J14,104.044913,-47.9665,0.0,top
J15,114.2817,-55.8783,180.0,top
J16,119.000001,-47.9665,0.0,top
J17,129.155,-55.98,180.0,top
J18,133.9,-47.985199,0.0,top
J19,49.2,-94.65,270.0,top
J2,181.903,-108.6,270.0,top
J20,49.25,-82.2,270.0,top
J21,71.9,-134.9,0.0,top
J22,91.83,-88.63,0.0,top
J23,81.535199,-86.1,90.0,top
J24,92.03,-103.47,0.0,top
J25,81.5165,-100.6,90.0,top
J26,92.03,-117.67,0.0,top
J27,81.556499,-115.300002,90.0,top
J28,75.497938,-56.1175,180.0,top
J29,88.2,-61.6,0.0,top
J3,181.86524,-90.460049,270.0,top
J30,77.017938,-61.5975,0.0,top
J31,88.2,-67.6,0.0,top
J32,77.017938,-67.5975,0.0,top
J33,88.2,-73.6,0.0,top
J34,77.017938,-73.5975,0.0,top
J35,86.2,-48.1,270.0,top
J36,80.2,-48.1,270.0,top
J37,74.1,-48.1,270.0,top
