"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C5,C1,C19";"C_0805_2012Metric";3;"10u";;;
2;"J1";"USB_Micro-B_Amphenol_10103594-0001LF_Horizontal";1;"USB_B_Micro";;;
3;"C17,C2,C12,C16,C18,C15,C20,C14,C8,C21,C11,C13";"C_0402_1005Metric";12;"100n";;;
4;"R1";"R_0402_1005Metric";1;"DNF";;;
5;"U2";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
6;"U3";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
7;"C4,C3";"C_0402_1005Metric";2;"15p";;;
8;"R7,R8";"R_0402_1005Metric";2;"27";;;
9;"R2,R4,R6";"R_0402_1005Metric";3;"1k";;;
10;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"ABM8-272-T3";;;
11;"C23,C22,C63,C64,C69,C82,C68,C72,C84,C47,C86,C59,C83,C65,C80,C67,C44,C45,C56,C61,C55,C25,C66,C53,C78,C51,C57,C81,C49,C79,C70,C48,C60,C52";"C_0603_1608Metric";34;"100nF";;;
12;"R85,R77,R81,R73,R75,R78,R79,R80,R71,R70,R76,R72,R82,R74";"R_0805_2012Metric";14;"4.7kOhm";;;
13;"C54,C91,C58,C90,C46,C24,C62,C75,C76,C50,C77,C89";"C_0603_1608Metric";12;"1uF";;;
14;"R34,R37,R31,R45,R25,R57,R24,R15,R14,R27,R32,R13,R46,R47,R58,R28,R30,R33,R26,R36,R35,R38,R59,R29";"R_0603_1608Metric";24;"10k";;;
15;"R67,R69,R64,R63,R88,R83,R68,R65,R89,R87,R66,R86,R91,R90,R84";"R_0805_2012Metric";15;"470";;;
16;"J13,J11,J5,J7,J15,J9";"CONN_SD-43045-010_08_MOL";6;"430450828";;;
17;"CR20,CR11,CR7,CR16,CR26,CR9,CR22,CR25,CR18,CR24,CR4,CR14,CR21,CR6,CR17,CR15,CR3,CR5,CR8,CR10,CR19,CR23,CR13,CR12";"SOT23_TO-236AB_NEX-L";24;"PESD2CAN_215";;;
18;"FB4,FB8,FB3,FB5,FB6,FB10,FB7,FB9";"L_0603_1608Metric_Pad1.05x0.95mm_HandSolder";8;"FerriteBead";;;
19;"D27,D26,D22,D28,D25,D23,D24,D21";"D_SOD-323F";8;"BAT54J";;;
20;"C95,C97,C94,C96,C99,C92,C98,C93";"C_0805_2012Metric";8;"100nF";;;
21;"R19,R11";"R_0805_2012Metric";2;"31.6kOhm";;;
22;"L2";"IND_1210-WE-PD_WRE";1;"7447709470";;;
23;"D13,D10,D12,D14,D7,D11";"LED_0805_2012Metric";6;"LED (red)";;;
24;"K5,K3,K4,K1,K6,K2";"V-SOP4_special_OMR";6;"G3VM-61VY3";;;
25;"R3";"R_0402_1005Metric";1;"33";;;
26;"U22,U18";"DW0016B_M";2;"ISO7730FDWR";;;
27;"J37,J26,J19,J38,J20,J35,J39,J27,J36,J25,J34,J21";"CONN_SD-43650-010_03_MOL";12;"436500328";;;
28;"J43";"JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical";1;"z_home";;;
29;"U23,U20,U25,U19,U21,U24";"SOIC-8_M_MCH-M";6;"MIC4420YM-TR";;;
30;"J28,J16,J17,J29,J24,J33,J22,J32,J30,J23,J31,J18";"PinHeader_2x02_P2.54mm_Vertical";12;"Conn_02x02_Odd_Even";;;
31;"R51,R41,R39,R43,R55,R53";"R_0603_1608Metric";6;"4.7k";;;
32;"R23";"R_0805_2012Metric";1;"330";;;
33;"Q3,Q6,Q1,Q4,Q2,Q5";"SOT-23";6;"BSS316N";;;
34;"R61,R62,R60,R50,R48,R49";"R_0805_2012Metric";6;"0/10Ohm";;;
35;"D6,D5,D2,D3,D30,D29";"LED_0805_2012Metric";6;"LED";;;
36;"U5,U17,U15,U9,U11,U13";"SOIC-16_3.9x9.9mm_P1.27mm";6;"AM26LS31CD";;;
37;"J2";"JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal";1;"SM03B-SRSS-TB";;;
38;"R42,R52,R54,R56,R40,R44";"R_0805_2012Metric";6;"100";;;
39;"C74,C73,C88,C85,C87,C71";"C_0603_1608Metric";6;"25pF";;;
40;"J48";"PinHeader_1x04_P2.54mm_Vertical";1;"UART";;;
41;"J4,J12,J10,J6,J8,J14";"PinHeader_1x04_P2.54mm_Vertical";6;"debug";;;
42;"C9,C10";"C_0402_1005Metric";2;"4.7u";;;
43;"D9,D8";"D_SOD-128";2;"PMEG4010EP,115";;;
44;"C40";"C_0603_1608Metric";1;"65pF";;;
45;"C7,C6";"C_0402_1005Metric_small_pads";2;"4.7u";;;
46;"C42,C34,C33,C43";"C_0805_2012Metric";4;"22uF";;;
47;"SW1,SW2";"SW_Push_1P1T_NO_Vertical_Wuerth_434133025816";2;"SW_Push";;;
48;"C27,C37,C28,C36";"C_0805_2012Metric";4;"2.2uF";;;
49;"C26,C35,C41,C32";"CAP_EEFK_D8_PAN-L";4;"EEE-FK1H470XP";;;
50;"J47";"JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical";1;"d_input";;;
51;"L3";"IND_1210-WE-PD_WRE-L";1;"7447709220";;;
52;"R20,R12";"R_0603_1608Metric";2;"100k";;;
53;"U14,U10,U16,U12,U4,U8";"DW0016B_L";6;"ISO7730FDWR";;;
54;"D1,D4";"Nexperia_CFP3_SOD-123W";2;"D_Zener";;;
55;"D15,D20,D17,D18,D19,D16";"D_SMB";6;"SM6T39AY";;;
56;"U26,U27";"SO16_TOS";2;"TLP291-4GB-TP_ET";;;
57;"R9,R5";"R_0805_2012Metric";2;"10k";;;
58;"U7,U6";"POWERPAD8_DDA_TEX-L";2;"LM5013QDDARQ1";;;
59;"J46";"JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical";1;"c_input";;;
60;"R10";"R_0402_1005Metric";1;"0";;;
61;"R16";"R_0603_1608Metric";1;"453k 1%";;;
62;"J50";"PinHeader_1x04_P2.54mm_Vertical";1;"aux2";;;
63;"J42";"JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical";1;"y_home";;;
64;"R17";"R_0603_1608Metric";1;"48.1k 1%";;;
65;"CR1,CR2";"DIODE_TO-277A-L";2;"SS5P10-M3/86A";;;
66;"J41";"JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical";1;"x_home";;;
67;"C30,C39";"C_0603_1608Metric";2;"2.2nF";;;
68;"J40";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"E_stop";;;
69;"U1";"RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias";1;"RP2350_80QFN";;;
70;"FB1,FB2";"L_0805_2012Metric";2;"FerriteBead";;;
71;"L1";"L_pol_2016";1;"3.3u";;;
72;"J44";"JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical";1;"a_home";;;
73;"U29,U28";"SOIC127P700X229-16N";2;"TLP291-4_TP_E_";;;
74;"J45";"JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical";1;"b_home";;;
75;"R_ESR2,R_ESR1";"R_0603_1608Metric";2;"20mOhm";;;
76;"C31";"C_0603_1608Metric";1;"50pF";;;
77;"C38,C29";"C_0603_1608Metric";2;"0.1uF";;;
78;"R21";"R_0603_1608Metric";1;"316k 1%";;;
79;"R22";"R_0603_1608Metric";1;"100k 1%";;;
80;"R18";"R_0805_2012Metric";1;"2k";;;
81;"J49";"PinHeader_1x04_P2.54mm_Vertical";1;"aux1";;;
82;"J3";"JST_NV_B02P-NV_1x02_P5.00mm_Vertical";1;"Conn_01x02";;;
