Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C5",0805,3,10u,
"C10, C6, C7, C9",0402,4,4.7u,
"C11, C12, C13, C14, C15, C16, C17, C18, C2, C20, C21, C8",0402,12,100n,
"C22, C23, C25, C44, C45, C47, C48, C49, C51, C52, C53, C55, C56, C57, C59, C60, C61, C63, C64, C65, C66, C67, C68, C69, C70, C72, C78, C79, C80, C81, C82, C83, C84, C86",0603,34,100nF,
"C24, C46, C50, C54, C58, C62, C75, C76, C77, C89, C90, C91",0603,12,1uF,
"C26, C32, C35, C41",CAP_EEFK_D8_PAN-L,4,EEE-FK1H470XP,
"C27, C28, C36, C37",0805,4,2.2uF,
"C29, C38",0603,2,0.1uF,
"C3, C4",0402,2,15p,
"C30, C39",0603,2,2.2nF,
C31,0603,1,50pF,
"C33, C34, C42, C43",0805,4,22uF,
C40,0603,1,65pF,
"C71, C73, C74, C85, C87, C88",0603,6,25pF,
"C92, C93, C94, C95, C96, C97, C98, C99",0805,8,100nF,
"CR1, CR2",DIODE_TO-277A-L,2,SS5P10-M3/86A,
"CR10, CR11, CR12, CR13, CR14, CR15, CR16, CR17, CR18, CR19, CR20, CR21, CR22, CR23, CR24, CR25, CR26, CR3, CR4, CR5, CR6, CR7, CR8, CR9",SOT23_TO-236AB_NEX-L,24,PESD2CAN_215,
"D1, D4",Nexperia_CFP3_SOD-123W,2,D_Zener,
"D10, D11, D12, D13, D14, D7",0805,6,LED (red),
"D15, D16, D17, D18, D19, D20",D_SMB,6,SM6T39AY,
"D2, D29, D3, D30, D5, D6",0805,6,LED,
"D21, D22, D23, D24, D25, D26, D27, D28",D_SOD-323F,8,BAT54J,
"D8, D9",D_SOD-128,2,"PMEG4010EP,115",
"FB1, FB2",0805,2,FerriteBead,
"FB10, FB3, FB4, FB5, FB6, FB7, FB8, FB9",0603,8,FerriteBead,
J1,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,1,USB_B_Micro,
"J10, J12, J14, J4, J6, J8",PinHeader_1x04_P2.54mm_Vertical,6,debug,
"J11, J13, J15, J5, J7, J9",CONN_SD-43045-010_08_MOL,6,430450828,
"J16, J17, J18, J22, J23, J24, J28, J29, J30, J31, J32, J33",PinHeader_2x02_P2.54mm_Vertical,12,Conn_02x02_Odd_Even,
"J19, J20, J21, J25, J26, J27, J34, J35, J36, J37, J38, J39",CONN_SD-43650-010_03_MOL,12,436500328,
J2,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM03B-SRSS-TB,
J3,JST_NV_B02P-NV_1x02_P5.00mm_Vertical,1,Conn_01x02,
J40,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,E_stop,
J41,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,x_home,
J42,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,y_home,
J43,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,z_home,
J44,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,a_home,
J45,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,b_home,
J46,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,c_input,
J47,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,d_input,
J48,PinHeader_1x04_P2.54mm_Vertical,1,UART,
