Designator,Mid X,Mid Y,Rotation,Layer
C1,-42.825,-27.3875,90.0,top
C10,-10.725,-37.425,0.0,top
C11,-19.525,-30.825,90.0,top
C12,-27.825,-39.825,180.0,top
C13,-10.725,-40.125,0.0,top
C14,-27.125,-44.625,270.0,top
C15,-21.925,-46.825,270.0,top
C16,-18.525,-30.82,90.0,top
C17,-16.335,-46.725,0.0,top
C18,-14.525,-31.325,90.0,top
C19,-41.025,-53.71,90.0,top
C2,-35.855,-42.225,180.0,top
C20,-23.325,-31.325,90.0,top
C21,-12.325,-43.525,270.0,top
C22,21.35,-55.9,180.0,top
C23,22.825,-42.65,180.0,top
C24,33.85,-55.9,180.0,top
C25,30.6,-55.9,0.0,top
C26,24.45,68.5,270.0,top
C27,22.05,57.75,270.0,top
C28,24.35,57.75,270.0,top
C29,26.35,57.55,270.0,top
C3,-8.605,-40.2,270.0,top
C30,35.75,57.65,90.0,top
C31,38.325,58.4,0.0,top
C32,51.0,62.0,90.0,top
C33,41.35,57.55,270.0,top
C34,43.6,57.55,270.0,top
C35,-15.15,65.25,270.0,top
C36,-11.75,58.55,270.0,top
C37,-14.0,58.55,270.0,top
C38,-9.75,58.35,270.0,top
C39,-0.25,57.85,90.0,top
C4,-8.605,-37.23,90.0,top
C40,2.25,58.6,0.0,top
C41,14.9,67.052858,90.0,top
C42,5.45,57.5,270.0,top
C43,7.75,57.55,270.0,top
C44,21.4,-38.0,180.0,top
C45,22.875,-24.75,180.0,top
C46,33.9,-38.0,180.0,top
C47,30.65,-38.0,0.0,top
C48,21.4,-20.1,180.0,top
C49,22.875,-6.85,180.0,top
C5,-30.025,-29.8,90.0,top
C50,33.9,-20.1,180.0,top
C51,30.65,-20.1,0.0,top
C52,21.45,-2.2,180.0,top
C53,22.925,11.05,180.0,top
C54,33.675,-2.2,180.0,top
C55,30.7,-2.2,0.0,top
C56,21.45,15.7,180.0,top
C57,22.925,28.95,180.0,top
C58,33.95,15.7,180.0,top
C59,30.7,15.7,0.0,top
C6,-25.075,-35.825,90.0,top
C60,21.45,33.6,180.0,top
C61,22.925,46.85,180.0,top
C62,33.95,33.6,180.0,top
C63,30.7,33.6,0.0,top
C64,-1.460001,-10.450003,90.0,top
C65,-1.460001,-2.250003,90.0,top
C66,-1.9,3.749999,0.0,top
C67,-1.810001,18.599996,0.0,top
C68,-1.835001,33.299997,0.0,top
C69,-1.925,8.549999,0.0,top
C7,-26.025,-35.825,90.0,top
C70,-1.810001,23.799996,0.0,top
C71,1.35,10.799999,180.0,top
C72,-1.860001,38.549997,0.0,top
C73,1.364999,25.599997,180.0,top
C74,1.289999,40.349997,180.0,top
C75,-1.925,6.949999,0.0,top
C76,-1.810001,22.199996,0.0,top
C77,-1.835001,36.949997,0.0,top
C78,-22.360001,-10.350005,90.0,top
C79,-22.360001,-2.150006,90.0,top
C8,-19.225,-46.825,270.0,top
C80,-22.8,3.849997,0.0,top
C81,-22.710001,18.699994,0.0,top
C82,-22.735001,33.399995,0.0,top
C83,-22.825,8.649997,0.0,top
C84,-22.710001,23.899994,0.0,top
C85,-19.55,10.899997,180.0,top
C86,-22.760001,38.649995,0.0,top
C87,-19.535001,25.699995,180.0,top
C88,-19.610001,40.449995,180.0,top
C89,-22.825,7.049997,0.0,top
C9,-25.525,-33.625,0.0,top
C90,-22.710001,22.299994,0.0,top
C91,-22.735001,37.049995,0.0,top
C92,-25.5,-56.175,90.0,top
C93,-23.075,-56.125,90.0,top
C94,-21.025,-56.125,90.0,top
C95,-17.442999,-56.107001,90.0,top
C96,-15.392999,-56.107001,90.0,top
C97,-10.975999,-56.094501,90.0,top
C98,-27.55,-56.175,90.0,top
C99,-13.025999,-56.094501,90.0,top
CR1,-6.8763,62.85,270.0,top
CR10,42.1,-37.315199,0.0,top
CR11,42.1,-15.165199,0.0,top
CR12,42.1,-11.1652,0.0,top
CR13,42.1,-7.1652,0.0,top
CR14,42.1,-19.415199,0.0,top
CR15,42.15,2.734801,0.0,top
CR16,42.15,6.7348,0.0,top
CR17,42.15,10.7348,0.0,top
CR18,42.15,-1.515199,0.0,top
CR19,42.15,20.634801,0.0,top
CR2,28.8546,61.95,270.0,top
CR20,42.15,24.6348,0.0,top
CR21,42.15,28.6348,0.0,top
CR22,42.15,16.384801,0.0,top
CR23,42.15,38.534801,0.0,top
CR24,42.15,42.5348,0.0,top
CR25,42.15,46.5348,0.0,top
CR26,42.15,34.284801,0.0,top
CR3,42.05,-50.9652,0.0,top
CR4,42.05,-46.9652,0.0,top
CR5,42.05,-42.9652,0.0,top
CR6,42.05,-55.2152,0.0,top
CR7,42.1,-33.065199,0.0,top
CR8,42.1,-29.0652,0.0,top
CR9,42.1,-25.0652,0.0,top
D1,-15.85,53.1,270.0,top
D10,-43.9588,-2.020163,180.0,top
D11,-44.0713,12.679837,180.0,top
D12,-44.168699,27.279835,180.0,top
D13,-44.068699,41.879835,180.0,top
D14,-43.918699,56.779835,180.0,top
